"","parameter","mean","median","sd","mad","90% CI","ess_bulk","ess_tail","rhat"
"1","lp__"," 408"," 409","7.93","8.15","( 395,  420)"," 414"," 560","1.01"
"2","CL_pop","10.4","10.4","0.57","0.564","(9.47, 11.4)","1.13e+03"," 601","1.02"
"3","Q_pop","14.7","14.6","2.03"," 1.9","(11.6, 18.1)","1.28e+03"," 813","   1"
"4","VC_pop","34.5","34.4","1.96","1.95","(31.4, 37.7)"," 867"," 721","   1"
"5","VP_pop"," 119"," 118","15.6","16.1","(94.7,  145)","1.13e+03"," 839","   1"
"6","ka_pop","2.78","2.78","0.184","0.171","(2.48, 3.09)"," 838"," 814","   1"
"7","sigma","0.155","0.155","0.00347","0.00358","(0.15, 0.161)","1.64e+03"," 882","   1"
"8","omega[1]","0.254","0.249","0.0429","0.0377","(0.193, 0.335)","1.49e+03"," 858","1.01"
"9","omega[2]","0.627","0.617","0.101","0.0973","(0.483, 0.811)","1.27e+03"," 806","   1"
"10","omega[3]","0.21","0.204","0.0465","0.0419","(0.146, 0.295)"," 910"," 860","   1"
"11","omega[4]","0.612"," 0.6","0.101","0.0914","(0.468, 0.794)","1.7e+03"," 867","1.01"
"12","omega[5]","0.212","0.205","0.0607","0.0564","(0.126, 0.325)"," 443"," 385","   1"
